Feature,Importance
Recency,0.08715267359898826
Customer_Days,0.07967378945539096
Total_Spending,0.07169685255067945
Avg_Spending_Per_Purchase,0.07036836330833242
Income,0.06902623465018763
MntWines,0.06824189626161195
MntMeatProducts,0.051169006997365866
MntGoldProds,0.05085199523708323
Engagement_Score,0.04343403478212142
NumStorePurchases,0.04241527469042445
Age,0.03946230340490296
NumWebVisitsMonth,0.03706657253412661
MntFishProducts,0.036536684009446194
MntSweetProducts,0.03622111313152263
MntFruits,0.0322127154702303
NumCatalogPurchases,0.029750898286180508
NumWebPurchases,0.028505841404817656
Total_Purchases,0.02777055326748079
Marital_Status,0.02267908952655031
NumDealsPurchases,0.021684344995277747
Education,0.018155881536683835
Teenhome,0.010825819283789834
Total_Children,0.010239838019738236
Cluster,0.009778583389045421
Kidhome,0.004333692429970536
Complain,0.0007459477780509126
